0,1_x,2_x,3_x,4_x,5_x,6,7,1_y,2_y,1,2,3_y,4_y,5_y
NAME,S1701_C03_001E,S2701_C03_001E,S1901_C01_012E,S1501_C01_005E,S1501_C01_012E,S1501_C01_001E,S1501_C01_006E,DP03_0009PE,DP03_0021PE,B19057_002E,B19057_001E,B25077_001E,B25064_001E,ucgid
Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Estimate!!Percent Insured!!Civilian noninstitutionalized population,Estimate!!Households!!Median income (dollars),Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Estimate!!Total:!!With public assistance income,Estimate!!Total:,Estimate!!Median value (dollars),Estimate!!Median gross rent,Geography
"Fayette County, Pennsylvania",19.8,96.6,54523,804,11229,8548,91907,3.6,0.6,2756,55724,144300,745,0500000US42051
"Franklin County, Pennsylvania",7.2,90.9,75875,600,15997,11250,112505,4.8,0.0,1712,62966,248900,1095,0500000US42055
"Indiana County, Pennsylvania",16.3,91.1,57505,1322,8365,13131,54468,5.3,0.2,1018,32454,152600,788,0500000US42063
"Lackawanna County, Pennsylvania",17.0,95.3,56002,2098,27731,19919,152591,3.2,0.3,3443,88871,200900,1069,0500000US42069
"Lancaster County, Pennsylvania",8.4,89.1,80067,6125,75555,49787,380837,3.2,0.9,6033,211669,306900,1329,0500000US42071
"Lawrence County, Pennsylvania",13.0,96.4,62754,81,10692,6482,61355,4.3,1.6,1498,36638,150800,763,0500000US42073
"Lebanon County, Pennsylvania",7.5,90.8,78824,1507,15911,10423,101861,2.2,0.2,2525,58012,235400,1186,0500000US42075
"Lehigh County, Pennsylvania",12.6,93.7,76508,4119,55737,33456,260568,4.9,0.8,7644,147524,318700,1346,0500000US42077
"Luzerne County, Pennsylvania",17.2,93.5,60380,1986,35112,28230,232643,4.5,0.6,4646,136046,179900,1058,0500000US42079
"Lycoming County, Pennsylvania",12.4,95.1,62135,1395,13971,10169,79843,4.7,0.8,1533,46849,205900,869,0500000US42081
"Mercer County, Pennsylvania",11.5,93.4,61669,1054,12739,10113,77861,4.6,0.1,1530,47517,166800,874,0500000US42085
"Monroe County, Pennsylvania",8.9,94.0,71087,1896,21331,15346,119562,6.7,3.9,2336,61129,275300,1325,0500000US42089
"Montgomery County, Pennsylvania",7.0,95.8,106748,16742,180781,68964,616584,3.4,3.7,6335,338467,445000,1674,0500000US42091
"Northampton County, Pennsylvania",9.6,95.4,84229,5175,45845,33612,225041,4.4,1.2,3006,123536,312800,1390,0500000US42095
"Northumberland County, Pennsylvania",11.2,96.2,59046,245,8752,5943,66434,3.1,0.1,1428,37343,164300,746,0500000US42097
"Philadelphia County, Pennsylvania",20.3,92.9,60302,23747,216445,154021,1072210,6.2,16.7,33277,688112,246600,1390,0500000US42101
"Schuylkill County, Pennsylvania",14.8,94.2,64276,1112,13270,10944,104568,5.6,0.2,3464,58809,149600,801,0500000US42107
"Somerset County, Pennsylvania",10.9,95.6,60515,205,5534,4924,54240,5.2,0.2,934,29435,144700,794,0500000US42111
"Washington County, Pennsylvania",8.9,96.3,77450,1719,29912,16077,153112,3.1,0.7,2357,89091,233200,956,0500000US42125
"Westmoreland County, Pennsylvania",10.9,97.4,71081,2150,53384,25327,262496,3.6,0.8,4136,155459,203600,862,0500000US42129
"York County, Pennsylvania",8.4,95.5,81362,3654,60565,36517,327185,3.9,0.9,5319,183864,257600,1149,0500000US42133
"Kent County, Rhode Island",8.7,96.7,91821,1609,32117,10627,130292,3.3,1.4,1509,73493,366800,1342,0500000US44003
"Newport County, Rhode Island",12.3,94.4,104880,2024,17868,6467,64469,4.3,0.4,367,36932,633700,1657,0500000US44005
"Providence County, Rhode Island",11.9,94.9,77170,10484,92230,65920,462443,5.9,2.4,9388,259528,377700,1369,0500000US44007
"Washington County, Rhode Island",9.2,97.6,102108,2071,29957,18392,92632,2.6,1.1,836,53307,541500,1194,0500000US44009
"Aiken County, South Carolina",13.8,91.5,67480,1956,27022,14233,124842,4.5,0.6,482,70920,223400,1022,0500000US45003
"Anderson County, South Carolina",13.5,91.3,64645,1713,25302,16453,148795,3.0,0.0,1123,86773,250500,1053,0500000US45007
"Beaufort County, South Carolina",9.0,92.3,81111,1423,43661,19633,146080,2.3,0.1,402,87165,466600,1759,0500000US45013
"Berkeley County, South Carolina",9.1,91.5,83372,2662,37659,23742,171750,4.1,0.1,1504,97713,330400,1654,0500000US45015
"Charleston County, South Carolina",10.3,92.1,89083,7310,96722,35217,307483,2.9,0.8,1068,183800,510900,1665,0500000US45019
"Dorchester County, South Carolina",10.4,88.6,78137,1968,22374,13763,115071,3.4,0.2,436,65532,327100,1505,0500000US45035
"Florence County, South Carolina",19.2,90.5,54014,595,13076,12587,93028,6.1,0.5,643,53651,173200,1012,0500000US45041
"Georgetown County, South Carolina",11.9,89.7,71313,340,9992,5044,49831,3.2,0.0,0,28720,322200,1517,0500000US45043
"Greenville County, South Carolina",11.3,90.2,76334,8559,100784,45421,385479,3.7,0.2,2345,226571,326100,1295,0500000US45045
"Greenwood County, South Carolina",16.8,92.1,56420,295,8042,6518,47463,2.2,0.0,184,29676,191300,894,0500000US45047
"Horry County, South Carolina",13.0,90.9,68988,1665,58871,29714,301342,3.5,1.0,1905,168080,316800,1265,0500000US45051
"Kershaw County, South Carolina",11.6,90.4,71375,292,6919,5820,47871,7.2,0.2,365,27356,222400,1032,0500000US45055
"Lancaster County, South Carolina",10.8,90.9,73942,281,17631,6349,78516,5.0,0.1,192,42439,334300,1097,0500000US45057
"Laurens County, South Carolina",15.7,89.1,56394,148,4873,5300,48579,5.1,0.0,356,28833,172700,876,0500000US45059
"Lexington County, South Carolina",11.2,93.1,76447,3969,43669,22715,216231,4.2,0.1,1166,126509,243500,1166,0500000US45063
