county,poverty_rate,health_insurance,median_household_income,unemployment_rate,public_transit,median_house_value,median_gross_rent,bachelor_holders,public_assistance
"Elkhart County, Indiana",12.8,86.0,67188,2.7,0.3,214000,1079,12.27,0.88
"Floyd County, Indiana",10.0,96.3,80023,2.9,0.2,258700,991,17.77,0.08
"Grant County, Indiana",22.1,94.1,52214,4.3,0.0,121800,734,12.91,3.59
"Hamilton County, Indiana",5.2,96.4,118777,2.4,0.1,419800,1510,38.41,0.89
"Hancock County, Indiana",5.8,93.0,93906,1.8,0.0,288900,1166,22.61,1.94
"Hendricks County, Indiana",5.5,93.7,93440,2.7,0.2,306100,1431,22.23,0.73
"Howard County, Indiana",12.2,95.0,61267,5.0,0.6,169300,949,13.94,2.87
"Johnson County, Indiana",6.2,97.7,92231,2.7,0.6,286900,1249,21.94,0.71
"Kosciusko County, Indiana",9.5,89.7,70140,2.4,0.0,227800,1010,15.68,0.17
"Lake County, Indiana",13.8,94.4,69166,4.8,1.3,236800,1116,16.74,1.73
"LaPorte County, Indiana",15.0,92.0,62868,3.5,0.5,196300,994,14.73,2.16
"Madison County, Indiana",12.1,91.9,62012,4.5,0.4,163200,935,13.18,2.24
"Marion County, Indiana",15.3,91.9,66582,4.3,1.2,238700,1187,22.6,2.0
"Monroe County, Indiana",18.3,96.1,58970,4.7,2.0,301400,1130,22.77,1.29
"Morgan County, Indiana",10.3,96.5,71723,3.9,0.0,262700,951,14.84,1.02
"Porter County, Indiana",9.7,96.1,77410,3.8,0.8,280500,1127,18.62,1.02
"St. Joseph County, Indiana",13.9,91.5,65751,4.9,1.3,195000,1077,19.05,1.08
"Tippecanoe County, Indiana",17.8,95.5,60762,2.8,2.5,246800,1131,21.4,1.39
"Vanderburgh County, Indiana",13.5,94.2,60459,3.8,1.2,187300,938,16.31,2.48
"Vigo County, Indiana",20.8,93.0,47659,6.6,0.5,142800,927,15.3,3.14
"Warrick County, Indiana",10.7,96.6,85260,2.9,0.0,262200,1021,24.75,0.3
"Wayne County, Indiana",19.0,86.9,51798,8.1,0.1,136100,825,11.66,2.47
"Black Hawk County, Iowa",14.2,95.0,59707,3.5,0.1,180100,942,18.9,1.17
"Dallas County, Iowa",7.4,96.6,97895,2.3,0.0,351100,1430,29.78,0.84
"Dubuque County, Iowa",9.2,97.0,71940,2.2,1.4,231700,868,20.93,0.83
"Johnson County, Iowa",16.3,94.6,71563,2.2,5.1,310700,1089,26.87,1.87
"Linn County, Iowa",9.9,96.2,72279,3.2,0.8,222900,942,22.24,1.43
"Polk County, Iowa",11.7,94.2,78979,3.3,0.5,271300,1137,26.0,1.53
"Pottawattamie County, Iowa",12.1,95.5,70640,3.4,1.7,216200,902,13.14,2.22
"Scott County, Iowa",10.2,95.2,76822,3.3,0.2,243000,993,23.66,1.74
"Story County, Iowa",16.8,96.5,68527,3.2,2.8,260600,991,24.18,0.86
"Woodbury County, Iowa",12.7,92.0,64913,2.6,1.7,182900,1025,13.6,2.29
"Butler County, Kansas",8.8,95.0,74566,1.9,0.0,222200,992,19.99,0.76
"Douglas County, Kansas",13.7,92.5,66997,5.2,2.7,305600,1056,22.94,0.95
"Johnson County, Kansas",5.3,95.0,102702,2.3,0.2,387700,1427,34.39,0.62
"Leavenworth County, Kansas",7.0,94.4,81921,2.6,0.0,275500,1175,18.96,2.38
"Riley County, Kansas",19.6,94.5,62623,4.1,0.2,221500,1095,22.24,0.4
